
映像名称                       PID 会话名              会话#       内存使用 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      3,060 K
Secure System                   72 Services                   0     22,584 K
Registry                       132 Services                   0     49,780 K
smss.exe                       512 Services                   0        948 K
csrss.exe                      700 Services                   0      4,268 K
wininit.exe                    956 Services                   0      5,548 K
csrss.exe                      964 Console                    1      5,876 K
services.exe                   544 Services                   0     11,956 K
winlogon.exe                   728 Console                    1      9,648 K
LsaIso.exe                     780 Services                   0      3,344 K
lsass.exe                      800 Services                   0     20,984 K
svchost.exe                    948 Services                   0     25,896 K
fontdrvhost.exe                836 Services                   0      3,876 K
fontdrvhost.exe                892 Console                    1     12,740 K
WUDFHost.exe                  1100 Services                   0      5,812 K
svchost.exe                   1156 Services                   0     16,660 K
svchost.exe                   1200 Services                   0      9,784 K
WUDFHost.exe                  1324 Services                   0      7,540 K
svchost.exe                   1416 Services                   0      5,416 K
svchost.exe                   1468 Services                   0      9,136 K
svchost.exe                   1480 Services                   0     11,736 K
svchost.exe                   1504 Services                   0     16,476 K
svchost.exe                   1576 Services                   0      6,512 K
svchost.exe                   1664 Services                   0      7,228 K
svchost.exe                   1744 Services                   0      6,904 K
svchost.exe                   1772 Services                   0     10,236 K
svchost.exe                   1864 Services                   0     10,872 K
svchost.exe                   1904 Services                   0     14,876 K
NVDisplay.Container.exe       1920 Services                   0     19,924 K
svchost.exe                   2036 Services                   0      9,276 K
AndrowsSvr.exe                1736 Services                   0     29,084 K
svchost.exe                   2060 Services                   0      9,820 K
svchost.exe                   2152 Services                   0     13,196 K
dwm.exe                       2228 Console                    1     59,280 K
svchost.exe                   2240 Services                   0      9,520 K
svchost.exe                   2264 Services                   0      8,988 K
svchost.exe                   2364 Services                   0     15,056 K
svchost.exe                   2428 Services                   0      6,384 K
svchost.exe                   2480 Services                   0     14,660 K
svchost.exe                   2532 Services                   0      6,100 K
svchost.exe                   2612 Services                   0     13,544 K
svchost.exe                   2620 Services                   0      5,920 K
svchost.exe                   2628 Services                   0      7,488 K
Memory Compression            2716 Services                   0    131,892 K
svchost.exe                   2752 Services                   0      9,196 K
svchost.exe                   2780 Services                   0      6,272 K
svchost.exe                   2804 Services                   0      7,352 K
svchost.exe                   2812 Services                   0      9,744 K
svchost.exe                   2896 Services                   0      6,576 K
NVDisplay.Container.exe       2200 Console                    1     32,876 K
svchost.exe                   2820 Services                   0     20,440 K
svchost.exe                   3388 Services                   0      8,312 K
svchost.exe                   3440 Services                   0      8,732 K
svchost.exe                   3568 Services                   0     13,248 K
svchost.exe                   3720 Services                   0      8,716 K
svchost.exe                   3844 Services                   0      5,924 K
svchost.exe                   3852 Services                   0      8,572 K
svchost.exe                   3896 Services                   0     13,164 K
spoolsv.exe                   4024 Services                   0     21,580 K
svchost.exe                   4084 Services                   0     60,236 K
svchost.exe                   3576 Services                   0     12,552 K
svchost.exe                   3636 Services                   0      7,256 K
AppleMobileDeviceService.     4204 Services                   0     12,016 K
svchost.exe                   4212 Services                   0      8,124 K
svchost.exe                   4220 Services                   0      9,848 K
svchost.exe                   4228 Services                   0     13,192 K
svchost.exe                   4240 Services                   0     41,984 K
warp-updater-armed.exe        4256 Services                   0     14,700 K
svchost.exe                   4268 Services                   0     36,776 K
mDNSResponder.exe             4276 Services                   0      6,416 K
MuMuRemoteService.exe         4284 Services                   0      7,212 K
svchost.exe                   4316 Services                   0      6,164 K
MpDefenderCoreService.exe     4324 Services                   0     17,412 K
svchost.exe                   4472 Services                   0      8,432 K
svchost.exe                   4556 Services                   0      5,416 K
svchost.exe                   4580 Services                   0     12,528 K
svchost.exe                   4604 Services                   0      8,720 K
svchost.exe                   4620 Services                   0     19,876 K
svchost.exe                   4928 Services                   0      5,984 K
svchost.exe                   5080 Services                   0     10,940 K
crashpad_handler.exe          5108 Services                   0      4,580 K
svchost.exe                   5152 Services                   0      5,740 K
MuMuRemoteBackend.exe         5332 Console                    1     35,600 K
MumuRemoteHealthd.exe         5524 Console                    1      9,840 K
warp-svc.exe                  5868 Services                   0     45,828 K
